Date : 2020-01-24 15:46:12
Directory : /Users/prime/Desktop/prime/solo-project/neptune-solo
Total : 78 files,  2903 codes, 388 comments, 495 blanks, all 3786 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/prime/Desktop/prime/solo-project/neptune-solo/src/components/ReusableComp/Map/Map.css                     | CSS        |         15 |          0 |          2 |         17 |
| /Users/prime/Desktop/prime/solo-project/neptune-solo/src/components/ReusableComp/Map/Map.js                      | JavaScript |        103 |         19 |         16 |        138 |
| /Users/prime/Desktop/prime/solo-project/neptune-solo/src/components/ReusableComp/Nav/Nav.css                     | CSS        |         29 |          2 |          5 |         36 |
| /Users/prime/Desktop/prime/solo-project/neptune-solo/src/components/ReusableComp/Nav/Nav.js                      | JavaScript |         34 |          1 |          5 |         40 |
| /Users/prime/Desktop/prime/solo-project/neptune-solo/src/components/ReusableComp/SearchTool/SearchTool.js        | JavaScript |         96 |          3 |         12 |        111 |
| /Users/prime/Desktop/prime/solo-project/neptune-solo/src/components/ReusableComp/SideNav/SideNav.js              | JavaScript |        214 |          4 |         11 |        229 |
| /Users/prime/Desktop/prime/solo-project/neptune-solo/src/index.js                                                | JavaScript |         24 |          8 |          8 |         40 |
| /Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/mapStoreToProps.js                                | JavaScript |          9 |          4 |          2 |         15 |
| /Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/reducers/_root.reducer.js                         | JavaScript |         26 |          5 |          4 |         35 |
| /Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/reducers/customers.reducer.js                     | JavaScript |          9 |          2 |          3 |         14 |
| /Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/reducers/errors.reducer.js                        | JavaScript |         31 |          7 |          4 |         42 |
| /Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/reducers/loginMode.reducer.js                     | JavaScript |         11 |          2 |          2 |         15 |
| /Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/reducers/selCustomer.reducer.js                   | JavaScript |          9 |          2 |          2 |         13 |
| /Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/reducers/setAllNew.reducer.js                     | JavaScript |         11 |          2 |          2 |         15 |
| /Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/reducers/setAllToday.reducer.js                   | JavaScript |         11 |          2 |          2 |         15 |
| /Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/reducers/setDate.reducer.js                       | JavaScript |         11 |          2 |          3 |         16 |
| /Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/reducers/setOrder.reducer.js                      | JavaScript |         11 |          2 |          3 |         16 |
| /Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/reducers/setOrderTech.reducer.js                  | JavaScript |         11 |          2 |          3 |         16 |
| /Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/reducers/setRoute.reducer.js                      | JavaScript |         11 |          2 |          2 |         15 |
| /Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/reducers/user.reducer.js                          | JavaScript |         11 |          2 |          2 |         15 |
| /Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/sagas/_root.saga.js                               | JavaScript |         31 |          6 |          3 |         40 |
| /Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/sagas/addCustomer.saga.js                         | JavaScript |         17 |          2 |          4 |         23 |
| /Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/sagas/addOrder.saga.js                            | JavaScript |         17 |          2 |          3 |         22 |
| /Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/sagas/addTech.saga.js                             | JavaScript |         22 |          2 |          6 |         30 |
| /Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/sagas/customers.saga.js                           | JavaScript |         20 |          2 |          4 |         26 |
| /Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/sagas/editOrder.saga.js                           | JavaScript |         21 |          2 |          6 |         29 |
| /Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/sagas/getAllNew.saga.js                           | JavaScript |         20 |          2 |          4 |         26 |
| /Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/sagas/getAllToday.saga.js                         | JavaScript |         21 |          2 |          4 |         27 |
| /Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/sagas/getOrder.saga.js                            | JavaScript |         21 |          2 |          5 |         28 |
| /Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/sagas/getOrderTech.saga.js                        | JavaScript |         29 |          2 |          4 |         35 |
| /Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/sagas/login.saga.js                               | JavaScript |         37 |         20 |         11 |         68 |
| /Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/sagas/postJunction.saga.js                        | JavaScript |         17 |          2 |          4 |         23 |
| /Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/sagas/registration.saga.js                        | JavaScript |         17 |          6 |          7 |         30 |
| /Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/sagas/user.saga.js                                | JavaScript |         18 |          8 |          6 |         32 |
| Total                                                                                                            |            |      2,903 |        388 |        495 |      3,786 |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
